text,category
Manual de instruções para montagem de móveis.,Casa
Termos de serviço de uma plataforma de software.,Legal
Notícias sobre a nova política econômica do governo.,Política
Guia completo para iniciantes em programação Python.,Tecnologia
Documento legal sobre direitos autorais.,Legal
Contrato de aluguel de imóvel residencial.,Legal
Documento legal sobre direitos autorais.,Legal
Pesquisa sobre o impacto da tecnologia na educação.,Educação
Regulamentação de segurança para veículos autônomos.,Tecnologia
Patente de um novo dispositivo eletrônico.,Tecnologia
Manual de instruções para montagem de móveis.,Casa
Pesquisa sobre o impacto da tecnologia na educação.,Educação
Parecer jurídico sobre um caso de propriedade intelectual.,Legal
Documento legal sobre direitos autorais.,Legal
Estudo sobre a psicologia do consumidor.,Educação
Parecer jurídico sobre um caso de propriedade intelectual.,Legal
Notícias sobre a nova política econômica do governo.,Política
Relatório anual da empresa sobre lucros e perdas.,Finanças
Termos de serviço de uma plataforma de software.,Legal
Patente de um novo dispositivo eletrônico.,Tecnologia
Acordo de confidencialidade para startups de tecnologia.,Legal
Discussão sobre os avanços da medicina e biotecnologia.,Saúde
Parecer jurídico sobre um caso de propriedade intelectual.,Legal
Discussão sobre os avanços da medicina e biotecnologia.,Saúde
Contrato de aluguel de imóvel residencial.,Legal
Acordo de confidencialidade para startups de tecnologia.,Legal
Este documento fala sobre finanças e investimentos.,Finanças
Notícias sobre a nova política econômica do governo.,Política
Pesquisa sobre o impacto da tecnologia na educação.,Educação
Este documento fala sobre finanças e investimentos.,Finanças
Patente de um novo dispositivo eletrônico.,Tecnologia
Notícias sobre a nova política econômica do governo.,Política
Manual de instruções para montagem de móveis.,Casa
Notícias sobre esportes e resultados de jogos.,Esportes
Acordo de confidencialidade para startups de tecnologia.,Legal
Legislação ambiental para empresas de mineração.,Legal
Termos de serviço de uma plataforma de software.,Legal
Relatório anual da empresa sobre lucros e perdas.,Finanças
Patente de um novo dispositivo eletrônico.,Tecnologia
Pesquisa sobre o impacto da tecnologia na educação.,Educação
Notícias sobre esportes e resultados de jogos.,Esportes
Regulamentação de segurança para veículos autônomos.,Tecnologia
Notícias sobre esportes e resultados de jogos.,Esportes
Análise de mercado para o setor de energias renováveis.,Finanças
Este documento fala sobre finanças e investimentos.,Finanças
Patente de um novo dispositivo eletrônico.,Tecnologia
Discussão sobre os avanços da medicina e biotecnologia.,Saúde
Artigo científico sobre inteligência artificial e aprendizado de máquina.,Tecnologia
Termos de serviço de uma plataforma de software.,Legal
Relatório anual da empresa sobre lucros e perdas.,Finanças
Discussão sobre os avanços da medicina e biotecnologia.,Saúde
Notícias sobre a nova política econômica do governo.,Política
Legislação ambiental para empresas de mineração.,Legal
Legislação ambiental para empresas de mineração.,Legal
Discussão sobre os avanços da medicina e biotecnologia.,Saúde
